# build started 2026-06-22T16:18:12.492754Z  days=586
20240701  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.64s
20240703  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.88s
20240704  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.61s
20240705  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.56s
20240706  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.60s
20240707  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.73s
20240708  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.56s
20240709  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.40s
20240710  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.86s
20240711  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20240712  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20240713  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20240714  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.65s
20240715  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.59s
20240716  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.77s
20240717  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.60s
20240718  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.55s
20240719  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.39s
20240720  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.40s
20240721  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.42s
20240722  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.46s
20240723  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20240724  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.43s
20240725  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.74s
20240727  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.44s
20240728  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.47s
20240729  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.24s
20240730  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.53s
20240731  rows=86400  detectors=['SoLEXS-SDD2', 'HEL1OS-CdTe1', 'HEL1OS-CdTe2', 'HEL1OS-CZT1', 'HEL1OS-CZT2']  build_time=0.40s
