date,has_solexs,has_hel1os,hel1os_n_obs,hel1os_seconds,hel1os_day_fraction,time_spans,status
2024-02-01,True,False,0,0,0.0,,MISSING
2024-02-02,True,False,0,0,0.0,,MISSING
2024-02-03,True,False,0,0,0.0,,MISSING
2024-02-04,True,False,0,0,0.0,,MISSING
2024-02-05,True,False,0,0,0.0,,MISSING
2024-02-06,True,False,0,0,0.0,,MISSING
2024-02-07,True,False,0,0,0.0,,MISSING
2024-02-08,True,False,0,0,0.0,,MISSING
2024-02-09,True,False,0,0,0.0,,MISSING
2024-02-10,True,False,0,0,0.0,,MISSING
2024-02-11,True,False,0,0,0.0,,MISSING
2024-02-12,True,False,0,0,0.0,,MISSING
2024-02-13,True,False,0,0,0.0,,MISSING
2024-02-14,True,False,0,0,0.0,,MISSING
2024-02-15,True,False,0,0,0.0,,MISSING
2024-02-16,True,False,0,0,0.0,,MISSING
2024-02-17,True,False,0,0,0.0,,MISSING
2024-02-18,True,False,0,0,0.0,,MISSING
2024-02-19,True,False,0,0,0.0,,MISSING
2024-02-20,True,False,0,0,0.0,,MISSING
2024-02-21,True,False,0,0,0.0,,MISSING
2024-02-22,True,False,0,0,0.0,,MISSING
2024-02-23,True,False,0,0,0.0,,MISSING
2024-02-24,True,False,0,0,0.0,,MISSING
2024-02-25,True,False,0,0,0.0,,MISSING
2024-02-26,True,False,0,0,0.0,,MISSING
2024-02-27,True,False,0,0,0.0,,MISSING
2024-02-28,True,False,0,0,0.0,,MISSING
2024-02-29,True,False,0,0,0.0,,MISSING
2024-03-01,True,False,0,0,0.0,,MISSING
2024-03-02,True,False,0,0,0.0,,MISSING
2024-03-03,True,False,0,0,0.0,,MISSING
2024-03-04,True,False,0,0,0.0,,MISSING
2024-03-05,True,False,0,0,0.0,,MISSING
2024-03-06,True,False,0,0,0.0,,MISSING
2024-03-07,True,False,0,0,0.0,,MISSING
2024-03-08,True,False,0,0,0.0,,MISSING
2024-03-09,True,False,0,0,0.0,,MISSING
2024-03-10,True,False,0,0,0.0,,MISSING
2024-03-11,True,False,0,0,0.0,,MISSING
2024-03-12,True,False,0,0,0.0,,MISSING
2024-03-13,True,False,0,0,0.0,,MISSING
2024-03-14,True,False,0,0,0.0,,MISSING
2024-03-15,True,False,0,0,0.0,,MISSING
2024-03-16,True,False,0,0,0.0,,MISSING
2024-03-17,True,False,0,0,0.0,,MISSING
2024-03-18,True,False,0,0,0.0,,MISSING
2024-03-19,True,False,0,0,0.0,,MISSING
2024-03-20,True,False,0,0,0.0,,MISSING
2024-03-21,True,False,0,0,0.0,,MISSING
2024-03-22,True,False,0,0,0.0,,MISSING
2024-03-23,True,False,0,0,0.0,,MISSING
