# labeling started 2026-06-22T16:25:38.704468Z  days=620
20240701  rows=86400  flare_seconds=10028  flare_events=10  classes={'B': 0, 'C': 9067, 'M': 961, 'X': 0}  time=0.2s
20240703  rows=86400  flare_seconds=8046  flare_events=7  classes={'B': 0, 'C': 6485, 'M': 1561, 'X': 0}  time=0.2s
20240704  rows=86400  flare_seconds=10747  flare_events=8  classes={'B': 0, 'C': 7385, 'M': 3362, 'X': 0}  time=0.2s
20240705  rows=86400  flare_seconds=9428  flare_events=9  classes={'B': 0, 'C': 9428, 'M': 0, 'X': 0}  time=0.2s
20240706  rows=86400  flare_seconds=10086  flare_events=8  classes={'B': 0, 'C': 7505, 'M': 2581, 'X': 0}  time=0.2s
20240707  rows=86400  flare_seconds=15909  flare_events=13  classes={'B': 0, 'C': 8527, 'M': 7382, 'X': 0}  time=0.2s
20240708  rows=86400  flare_seconds=14836  flare_events=17  classes={'B': 0, 'C': 14115, 'M': 721, 'X': 0}  time=0.2s
20240709  rows=86400  flare_seconds=7327  flare_events=7  classes={'B': 0, 'C': 7327, 'M': 0, 'X': 0}  time=0.2s
20240710  rows=86400  flare_seconds=14950  flare_events=12  classes={'B': 0, 'C': 7265, 'M': 7685, 'X': 0}  time=0.2s
20240711  rows=86400  flare_seconds=8346  flare_events=7  classes={'B': 0, 'C': 5404, 'M': 2942, 'X': 0}  time=0.2s
20240712  rows=86400  flare_seconds=5104  flare_events=4  classes={'B': 0, 'C': 5104, 'M': 0, 'X': 0}  time=0.2s
20240713  rows=86400  flare_seconds=14587  flare_events=11  classes={'B': 0, 'C': 4742, 'M': 9845, 'X': 0}  time=0.2s
20240714  rows=86400  flare_seconds=15856  flare_events=17  classes={'B': 0, 'C': 10751, 'M': 3604, 'X': 1501}  time=0.2s
20240715  rows=86400  flare_seconds=9967  flare_events=8  classes={'B': 0, 'C': 4925, 'M': 5042, 'X': 0}  time=0.2s
20240716  rows=86400  flare_seconds=11287  flare_events=8  classes={'B': 0, 'C': 2582, 'M': 7204, 'X': 1501}  time=0.2s
20240717  rows=86400  flare_seconds=10147  flare_events=9  classes={'B': 0, 'C': 3244, 'M': 6903, 'X': 0}  time=0.2s
20240718  rows=86400  flare_seconds=15131  flare_events=14  classes={'B': 0, 'C': 13510, 'M': 1621, 'X': 0}  time=0.2s
20240719  rows=86400  flare_seconds=11948  flare_events=9  classes={'B': 0, 'C': 7685, 'M': 4263, 'X': 0}  time=0.2s
20240720  rows=86400  flare_seconds=13389  flare_events=10  classes={'B': 0, 'C': 10987, 'M': 2402, 'X': 0}  time=0.2s
20240721  rows=86400  flare_seconds=16876  flare_events=19  classes={'B': 0, 'C': 12072, 'M': 4804, 'X': 0}  time=0.2s
20240722  rows=86400  flare_seconds=16218  flare_events=20  classes={'B': 0, 'C': 11533, 'M': 4685, 'X': 0}  time=0.2s
20240723  rows=86400  flare_seconds=10025  flare_events=6  classes={'B': 0, 'C': 5224, 'M': 4801, 'X': 0}  time=0.2s
20240724  rows=86400  flare_seconds=12607  flare_events=9  classes={'B': 0, 'C': 10085, 'M': 2522, 'X': 0}  time=0.2s
20240725  rows=86400  flare_seconds=9189  flare_events=10  classes={'B': 0, 'C': 8228, 'M': 961, 'X': 0}  time=0.2s
